student_id,name,grade,choice1_monday_am,choice2_monday_am,choice3_monday_am,choice4_monday_am,choice1_monday_pm,choice2_monday_pm,choice3_monday_pm,choice4_monday_pm,choice1_tuesday_am,choice2_tuesday_am,choice3_tuesday_am,choice4_tuesday_am,choice1_tuesday_pm,choice2_tuesday_pm,choice3_tuesday_pm,choice4_tuesday_pm,choice1_wednesday_am,choice2_wednesday_am,choice3_wednesday_am,choice4_wednesday_am,choice1_wednesday_pm,choice2_wednesday_pm,choice3_wednesday_pm,choice4_wednesday_pm,choice1_thursday_am,choice2_thursday_am,choice3_thursday_am,choice4_thursday_am,choice1_thursday_pm,choice2_thursday_pm,choice3_thursday_pm,choice4_thursday_pm,choice1_friday_am,choice2_friday_am,choice3_friday_am,choice4_friday_am,choice1_friday_pm,choice2_friday_pm,choice3_friday_pm,choice4_friday_pm
1,Paula,4,9,14,5,11,13,16,9,3,16,18,12,13,19,7,3,14,1,20,5,4,12,11,10,5,13,5,20,12,9,9,5,17,1,7,4,12,1,11,16,18
2,Chris,4,7,16,12,16,12,13,9,4,11,6,14,10,11,6,20,3,3,20,9,5,15,13,16,5,10,15,16,19,10,13,20,18,11,1,11,1,9,20,7,19
3,Kelly,6,18,9,17,8,13,19,12,9,7,15,15,15,12,3,5,20,14,20,18,9,13,17,13,13,15,10,6,16,16,5,7,10,11,7,6,10,11,7,12,4
4,Jill,2,12,8,13,14,20,3,1,12,20,17,20,19,15,3,6,13,8,14,2,1,19,6,7,7,11,15,12,8,9,10,16,11,15,5,20,2,3,3,5,9
5,Laura,7,11,14,5,9,16,20,1,17,20,1,5,19,13,17,9,14,5,6,15,13,9,14,7,6,5,12,16,2,19,12,17,20,4,11,8,18,1,8,9,5
6,Ella,7,14,19,12,10,17,2,13,7,2,20,16,8,10,7,9,1,6,11,12,3,7,11,19,1,15,12,9,13,3,19,15,5,6,1,7,15,2,14,1,14
7,Oscar,6,7,11,20,16,11,6,2,11,2,4,19,7,9,8,20,5,16,14,19,13,14,15,13,11,7,19,3,20,9,15,3,8,15,15,20,13,4,7,10,5
8,Ethan,1,9,15,3,9,1,1,9,11,13,13,10,4,13,1,5,2,19,11,8,3,3,3,1,8,13,20,9,8,16,7,14,18,17,2,11,19,20,19,5,20
9,Xena,2,5,6,7,14,14,8,19,17,13,12,18,13,13,11,20,12,14,4,15,14,7,18,16,18,20,16,12,20,8,3,7,6,5,4,11,15,2,13,20,11
10,Uriah,1,19,10,7,11,14,19,8,9,12,7,7,8,13,8,19,8,9,6,8,9,6,14,18,5,9,13,12,20,11,6,15,2,4,4,19,1,11,14,16,1
